id_student,id_assessment,date_submitted,score
31,32,2022-06-26,65.0
32,20,2022-05-18,16.33
32,52,2022-05-29,80.18
32,15,2022-06-22,58.41
32,59,2022-09-11,33.6
32,27,2022-09-28,41.37
32,18,2022-10-08,68.96
32,46,2022-03-19,98.95
33,43,2022-05-20,96.98
33,4,2022-10-30,40.13
33,56,2022-05-29,71.66
33,3,2022-08-19,52.42
33,33,2022-12-23,36.61
33,12,2022-11-20,28.92
34,40,2022-03-22,0.87
34,8,2022-03-22,6.24
34,10,2022-01-14,75.64
34,45,2022-11-27,4.03
34,39,2022-08-12,37.1
34,4,2022-12-05,83.63
34,49,2022-06-26,98.73
35,56,2022-09-20,68.56
35,5,2022-08-10,12.66
35,22,2022-01-10,91.2
35,26,2022-04-16,2.13
35,50,2022-02-26,26.09
35,36,2022-08-08,51.83
36,19,2022-03-07,39.52
36,45,2022-06-06,74.65
36,1,2022-10-01,87.67
36,46,2022-04-09,7.24
36,37,2022-02-04,62.51
36,9,2022-06-21,57.47
36,28,2022-03-04,62.77
37,56,2022-07-21,5.68
37,24,2022-08-19,66.18
37,40,2022-02-07,38.25
37,18,2022-02-18,9.53
37,20,2022-08-13,37.06
37,37,2022-06-02,3.86
37,38,2022-09-04,65.22
37,45,2022-01-22,73.14
38,27,2022-03-13,36.92
38,1,2022-03-27,82.52
38,53,2022-12-29,5.07
38,5,2022-03-02,47.9
38,40,2022-03-14,33.89
38,51,2022-06-03,12.41
38,50,2022-12-03,75.98
39,41,2022-04-29,72.17
39,28,2022-06-26,14.27
39,4,2022-01-01,21.92
39,26,2022-11-01,85.18
39,48,2022-01-21,62.54
39,44,2022-05-05,25.27
39,30,2022-01-08,14.51
39,56,2022-10-05,62.05
40,4,2022-03-04,93.32
40,47,2022-05-04,29.21
40,57,2022-02-17,16.73
40,55,2022-10-19,48.06
40,58,2022-06-02,88.95
40,48,2022-09-14,84.68
40,49,2022-10-04,1.44
41,40,2022-01-16,25.19
41,35,2022-10-26,48.9
41,42,2022-04-29,67.51
41,54,2022-08-01,42.15
41,22,2022-01-09,9.28
42,9,2022-12-07,23.6
42,30,2022-06-30,11.27
42,5,2022-01-25,28.67
42,57,2022-08-17,20.25
42,58,2022-07-03,27.08
42,56,2022-11-20,80.15
42,21,2022-03-24,74.33
43,17,2022-12-04,91.69
43,5,2022-04-29,96.38
43,20,2022-02-07,38.77
43,6,2022-02-18,62.79
43,34,2022-10-22,40.53
44,18,2022-10-18,7.45
44,20,2022-04-10,75.12
44,19,2022-07-02,59.73
44,30,2022-08-21,49.99
44,59,2022-04-10,38.33
44,42,2022-03-30,88.89
44,44,2022-10-01,68.08
45,42,2022-09-27,63.05
45,15,2022-01-09,54.06
45,6,2022-02-01,11.7
45,16,2022-07-12,70.33
45,19,2022-06-28,97.68
46,54,2022-01-10,35.42
46,49,2022-01-11,33.13
46,55,2022-01-27,16.24
46,36,2022-11-20,31.95
46,12,2022-10-28,7.7
46,5,2022-08-05,58.64
47,29,2022-01-26,60.69
47,43,2022-08-11,65.13
47,30,2022-01-28,27.14
47,1,2022-11-30,95.74
47,27,2022-12-21,67.61
47,7,2022-11-25,32.62
47,59,2022-01-06,22.36
47,17,2022-09-08,87.32
48,15,2022-07-31,12.38
48,1,2022-03-14,3.21
48,55,2022-10-20,98.86
48,2,2022-05-19,11.55
48,33,2022-09-30,63.63
48,58,2022-06-17,91.76
48,17,2022-05-29,0.31
49,56,2022-06-23,53.39
49,21,2022-10-11,4.13
49,32,2022-06-23,20.05
49,7,2022-11-11,19.15
49,12,2022-09-26,21.45
49,6,2022-03-26,80.54
50,19,2022-02-15,61.06
50,5,2022-06-04,50.58
50,56,2022-04-13,26.6
50,40,2022-09-07,97.38
50,47,2022-06-13,81.38
50,42,2022-05-28,6.07
50,6,2022-06-19,80.16
51,24,2022-10-03,67.1
51,46,2022-11-25,8.78
51,38,2022-04-26,48.91
51,55,2022-01-10,13.09
51,54,2022-05-28,71.44
51,49,2022-02-25,21.64
51,53,2022-09-06,40.03
51,23,2022-08-14,96.86
52,22,2022-11-04,60.26
52,37,2022-11-27,17.63
52,6,2022-03-01,26.46
52,45,2022-08-23,33.7
52,60,2022-11-22,59.84
52,53,2022-04-12,40.45
52,27,2022-05-27,26.84
53,54,2022-04-10,48.27
53,12,2022-04-08,54.81
53,13,2022-05-11,66.56
53,42,2022-03-15,14.9
53,28,2022-04-29,59.72
53,60,2022-06-28,92.78
54,30,2022-11-23,87.79
54,60,2022-02-02,90.75
54,49,2022-06-23,29.59
54,25,2022-09-13,89.53
54,14,2022-02-05,60.59
55,37,2022-05-10,51.04
55,36,2022-03-21,98.54
55,21,2022-08-19,33.57
55,9,2022-04-17,33.51
55,47,2022-05-24,21.01
56,52,2022-09-25,37.13
56,22,2022-10-11,84.67
56,19,2022-05-16,84.47
56,43,2022-05-26,44.66
56,58,2022-10-13,20.94
56,20,2022-11-13,79.9
56,1,2022-11-16,64.83
57,48,2022-04-13,47.22
57,6,2022-01-03,12.97
57,34,2022-12-18,24.97
57,8,2022-05-31,67.83
57,25,2022-09-18,65.75
57,23,2022-07-05,15.4
57,20,2022-12-09,63.72
57,59,2022-05-08,77.96
58,40,2022-05-31,95.99
58,49,2022-11-18,27.69
58,27,2022-06-28,20.33
58,29,2022-01-02,50.92
58,3,2022-05-15,95.74
58,43,2022-03-17,85.29
58,50,2022-11-26,50.94
58,35,2022-08-23,45.66
59,31,2022-07-02,69.56
59,42,2022-07-02,88.71
59,57,2022-10-25,49.12
59,39,2022-08-08,30.45
59,35,2022-03-22,49.4
59,40,2022-03-04,12.79
59,23,2022-11-26,52.5
60,30,2022-03-05,89.37
60,59,2022-12-05,30.61
60,46,2022-10-15,65.47
60,34,2022-09-03,44.1
60,32,2022-11-29,75.91
61,9,2022-07-22,12.13
61,29,2022-08-16,58.83
61,14,2022-12-26,97.22
61,54,2022-09-03,48.33
61,38,2022-07-26,48.54
62,58,2022-07-11,50.04
62,42,2022-10-17,89.86
62,46,2022-02-15,40.15
62,29,2022-09-08,49.51
62,55,2022-03-04,30.37
63,31,2022-09-25,77.98
63,24,2022-04-04,86.94
63,50,2022-07-01,28.09
63,21,2022-05-14,3.1
63,20,2022-06-14,63.98
63,23,2022-11-25,56.36
63,57,2022-05-09,43.14
63,13,2022-05-05,90.73
64,57,2022-10-20,46.28
64,1,2022-04-07,46.98
64,33,2022-11-16,86.73
64,22,2022-11-04,35.74
64,45,2022-02-01,47.4
64,3,2022-07-05,40.38
64,35,2022-09-08,4.45
65,6,2022-07-04,69.28
65,35,2022-10-11,58.93
65,10,2022-03-11,66.59
65,18,2022-11-23,52.83
65,37,2022-09-03,33.09
66,45,2022-06-12,87.8
66,33,2022-09-02,8.33
66,35,2022-01-17,83.05
66,50,2022-08-23,97.7
66,9,2022-09-06,47.03
66,6,2022-06-23,72.56
66,16,2022-10-19,49.2
67,54,2022-08-19,65.36
67,39,2022-09-08,74.58
67,25,2022-06-20,44.39
67,53,2022-08-12,32.2
67,18,2022-11-07,2.08
67,51,2022-05-22,36.18
67,5,2022-06-16,42.24
67,11,2022-04-18,32.38
68,11,2022-01-21,2.4
68,3,2022-05-23,74.45
68,34,2022-09-24,40.19
68,26,2022-04-10,62.91
68,20,2022-12-04,84.14
68,47,2022-01-03,13.5
69,58,2022-04-20,17.59
69,21,2022-05-05,10.21
69,15,2022-01-07,1.09
69,45,2022-09-04,12.91
69,46,2022-12-08,0.47
69,47,2022-01-19,84.56
69,32,2022-04-11,93.28
70,15,2022-11-23,86.04
70,52,2022-09-18,19.2
70,46,2022-10-31,81.22
70,18,2022-03-16,17.82
70,14,2022-01-20,49.96
70,28,2022-11-08,39.6
70,60,2022-12-27,45.54
70,20,2022-03-07,15.11
71,6,2022-11-26,83.32
71,9,2022-09-10,77.02
71,48,2022-11-12,4.48
71,60,2022-09-19,28.23
71,35,2022-02-11,99.38
71,24,2022-09-23,41.99
71,47,2022-08-15,60.93
71,15,2022-04-29,37.17
72,40,2022-12-25,77.75
72,44,2022-07-12,66.64
72,50,2022-10-19,36.06
72,8,2022-12-10,24.32
72,32,2022-12-21,19.8
72,46,2022-10-03,35.09
72,45,2022-04-27,46.12
73,40,2022-01-15,45.51
73,43,2022-02-03,68.78
73,42,2022-06-02,62.13
73,38,2022-04-14,99.39
73,36,2022-11-09,80.62
73,58,2022-01-23,21.99
74,50,2022-06-29,88.91
74,53,2022-01-26,23.3
74,42,2022-08-14,19.82
74,12,2022-10-31,69.11
74,27,2022-02-11,12.12
74,3,2022-08-14,8.22
74,43,2022-09-09,33.24
74,6,2022-11-12,87.24
75,7,2022-02-11,95.86
75,24,2022-11-07,80.96
75,3,2022-06-28,70.42
75,56,2022-06-15,28.5
75,58,2022-06-05,21.83
75,52,2022-08-08,70.23
75,32,2022-03-01,4.87
76,38,2022-08-10,77.84
76,24,2022-12-24,44.37
76,53,2022-06-24,68.44
76,13,2022-04-03,94.52
76,30,2022-11-08,83.01
77,57,2022-12-20,87.05
77,3,2022-09-05,86.56
77,25,2022-09-22,95.19
77,32,2022-01-25,52.26
77,33,2022-06-28,83.7
77,18,2022-03-08,39.92
78,29,2022-03-27,49.47
78,13,2022-07-24,62.6
78,38,2022-10-24,59.19
78,50,2022-11-07,26.91
78,28,2022-05-30,74.77
78,48,2022-07-27,97.72
78,45,2022-03-26,61.63
78,43,2022-08-01,19.09
79,20,2022-01-03,31.59
79,29,2022-05-18,74.72
79,19,2022-11-10,15.64
79,40,2022-03-19,14.91
79,48,2022-01-22,14.05
79,45,2022-04-05,38.11
79,58,2022-02-18,50.8
79,8,2022-02-14,48.07
80,59,2022-09-17,11.8
80,33,2022-09-19,46.87
80,28,2022-07-05,81.97
80,8,2022-08-16,29.15
80,24,2022-04-15,27.33
81,58,2022-01-12,19.32
81,2,2022-07-19,99.36
81,50,2022-09-24,17.23
81,34,2022-08-27,38.23
81,23,2022-09-12,32.46
81,15,2022-06-19,77.41
82,55,2022-10-23,17.53
82,11,2022-09-25,64.08
82,40,2022-10-05,95.54
82,54,2022-08-05,30.73
82,14,2022-12-24,83.58
83,58,2022-04-06,8.18
83,43,2022-02-21,43.47
83,9,2022-04-25,40.59
83,60,2022-05-17,66.19
83,15,2022-06-29,4.18
84,50,2022-10-05,5.37
84,14,2022-10-04,6.31
84,34,2022-01-13,55.99
84,42,2022-05-18,31.11
84,22,2022-07-06,30.47
84,20,2022-01-14,65.88
84,37,2022-04-25,11.44
85,13,2022-04-25,29.36
85,11,2022-12-17,18.92
85,9,2022-07-14,21.78
85,35,2022-03-14,63.81
85,57,2022-11-11,12.59
85,45,2022-09-09,32.11
85,19,2022-09-23,32.12
86,47,2022-12-01,39.78
86,54,2022-07-24,66.85
86,60,2022-02-17,5.52
86,42,2022-06-12,52.27
86,25,2022-04-30,12.38
87,33,2022-11-09,49.61
87,13,2022-05-01,9.44
87,42,2022-02-09,93.98
87,27,2022-08-15,27.17
87,38,2022-01-26,18.42
88,59,2022-04-08,86.14
88,4,2022-02-24,85.53
88,25,2022-08-19,9.23
88,14,2022-12-08,92.6
88,30,2022-08-30,81.71
88,22,2022-03-27,8.01
89,40,2022-11-26,74.03
89,53,2022-02-11,94.73
89,37,2022-01-12,42.3
89,54,2022-03-11,12.64
89,27,2022-03-15,49.12
89,38,2022-06-17,21.76
89,13,2022-02-20,33.19
90,1,2022-03-23,58.91
90,14,2022-07-14,75.54
90,8,2022-02-18,98.34
90,50,2022-09-23,24.74
90,33,2022-04-26,18.45
91,15,2022-07-14,42.26
91,2,2022-04-29,0.35
91,36,2022-07-09,49.05
91,3,2022-11-23,48.11
91,12,2022-10-25,15.9
91,56,2022-10-04,92.36
91,53,2022-10-24,24.4
91,21,2022-11-10,62.25
92,58,2022-03-18,80.3
92,27,2022-04-28,11.42
92,29,2022-10-23,71.32
92,57,2022-11-01,15.41
92,14,2022-03-15,1.02
93,31,2022-11-03,58.84
93,57,2022-11-15,3.81
93,33,2022-03-22,60.81
93,56,2022-06-18,23.02
93,40,2022-09-16,60.22
93,20,2022-05-06,17.87
93,10,2022-12-14,66.12
93,22,2022-08-18,28.47
94,56,2022-02-26,23.77
94,15,2022-08-09,71.2
94,29,2022-06-23,60.44
94,58,2022-03-09,2.55
94,26,2022-03-20,11.12
95,40,2022-02-28,58.8
95,12,2022-02-26,79.24
95,58,2022-06-11,59.33
95,51,2022-07-18,23.05
95,11,2022-04-09,12.86
96,17,2023-01-01,13.67
96,47,2022-11-24,51.96
96,59,2022-08-30,8.35
96,60,2022-06-10,81.0
96,18,2022-09-23,88.77
96,27,2022-05-08,66.42
97,45,2022-09-11,52.89
97,52,2022-11-06,1.49
97,33,2022-07-15,80.68
97,27,2022-09-05,73.36
97,1,2022-03-11,30.51
98,31,2022-10-01,97.37
98,2,2022-08-27,26.32
98,25,2022-07-17,98.28
98,22,2022-08-26,92.44
98,17,2022-08-13,74.59
98,40,2022-07-07,91.89
98,13,2022-06-11,63.4
98,37,2022-11-19,77.68
99,51,2022-08-08,23.87
99,45,2022-12-07,58.09
99,35,2022-11-22,26.5
99,29,2022-04-10,12.07
99,30,2022-09-30,40.73
100,42,2022-02-03,50.72
100,19,2022-09-02,89.44
100,52,2022-05-21,18.12
100,1,2022-11-18,10.22
100,18,2022-12-26,60.84
101,42,2022-10-13,28.47
101,26,2022-10-13,31.88
101,43,2022-06-19,68.95
101,3,2022-12-22,46.25
101,27,2022-04-02,52.65
101,40,2022-04-11,37.76
101,32,2022-05-04,36.24
101,33,2022-02-03,59.75
102,52,2022-01-10,76.51
102,37,2022-07-11,84.4
102,59,2022-02-17,98.44
102,14,2022-03-08,23.15
102,48,2022-05-21,7.79
102,36,2022-10-02,26.86
102,60,2022-10-12,68.93
102,30,2022-01-15,73.53
103,33,2022-12-08,26.8
103,4,2022-05-15,83.3
103,8,2022-01-13,61.55
103,23,2022-08-18,80.2
103,54,2022-02-12,3.86
103,47,2022-10-06,54.05
103,15,2022-06-07,34.4
104,19,2022-03-02,80.95
104,4,2022-12-01,58.82
104,40,2022-10-16,32.42
104,38,2022-03-25,3.68
104,46,2022-12-15,75.33
104,48,2022-03-08,74.04
105,44,2022-03-11,95.05
105,59,2022-08-08,94.43
105,49,2022-01-05,62.64
105,35,2022-11-07,65.94
105,36,2022-02-18,15.81
105,1,2022-04-12,8.97
105,12,2022-12-19,42.43
105,5,2022-01-15,28.27
106,11,2022-03-30,31.88
106,53,2022-07-15,46.25
106,46,2022-06-09,96.79
106,15,2022-12-13,56.88
106,35,2022-05-31,77.43
106,57,2022-01-20,68.87
107,22,2022-03-26,77.37
107,48,2022-09-18,65.36
107,50,2022-05-19,85.42
107,2,2022-01-16,25.92
107,15,2022-06-15,36.14
107,29,2022-03-15,57.65
107,56,2022-06-03,65.87
107,46,2022-07-30,65.64
108,29,2022-02-03,29.84
108,5,2022-08-12,31.77
108,32,2022-11-15,47.53
108,9,2022-09-18,30.77
108,36,2022-12-09,56.2
108,1,2022-09-23,51.99
108,4,2022-08-25,72.37
108,10,2022-06-18,74.78
109,45,2022-01-20,38.96
109,29,2022-09-27,62.2
109,2,2022-12-07,8.05
109,28,2022-05-23,25.05
109,46,2022-07-04,7.05
109,1,2022-08-06,60.59
110,50,2022-06-14,99.53
110,23,2022-08-13,66.1
110,37,2022-02-25,2.96
110,58,2022-09-22,10.41
110,27,2022-12-04,8.77
110,34,2022-11-11,19.94
111,55,2022-07-13,47.14
111,10,2022-05-13,70.55
111,14,2022-02-23,27.64
111,23,2022-06-04,90.25
111,50,2022-04-26,43.44
111,41,2022-01-07,54.97
112,49,2022-05-25,37.07
112,23,2022-10-21,27.17
112,52,2022-10-23,39.78
112,15,2022-02-23,78.45
112,4,2022-09-01,8.32
112,26,2022-03-25,97.25
112,46,2022-03-15,31.25
113,33,2022-12-04,68.84
113,26,2022-05-23,61.18
113,55,2022-05-07,4.57
113,20,2022-04-11,98.88
113,19,2022-12-02,8.6
113,2,2022-08-22,82.53
113,38,2022-12-03,33.82
114,18,2022-03-10,6.48
114,27,2022-03-31,32.83
114,46,2022-11-13,82.73
114,13,2022-07-06,88.85
114,6,2022-08-14,65.37
114,22,2022-06-07,57.68
115,22,2022-06-20,70.57
115,2,2022-04-21,72.59
115,41,2022-07-30,99.78
115,38,2022-08-20,96.34
115,60,2022-08-03,44.77
115,55,2022-07-27,80.34
115,30,2022-11-27,12.53
116,24,2022-10-02,33.29
116,46,2022-12-19,80.44
116,57,2022-03-02,31.43
116,32,2022-02-13,72.73
116,20,2022-06-18,83.37
117,43,2022-01-27,27.25
117,32,2022-08-16,17.34
117,52,2022-11-12,0.13
117,23,2022-12-12,79.99
117,19,2022-07-21,32.05
117,57,2022-07-08,35.31
118,2,2022-05-02,37.46
118,59,2022-09-30,52.77
118,11,2022-06-09,34.53
118,37,2022-05-06,38.52
118,18,2022-11-24,22.4
119,4,2022-02-13,61.08
119,52,2022-07-28,80.9
119,19,2022-06-06,63.66
119,16,2022-02-10,40.95
119,45,2022-03-06,86.0
119,47,2022-05-31,51.1
120,29,2022-09-15,13.56
120,37,2022-08-31,95.47
120,15,2022-04-30,62.68
120,17,2022-10-14,45.63
120,39,2022-07-28,86.57
120,54,2022-03-28,26.55
120,35,2022-06-22,25.65
120,53,2022-04-24,17.44
